順位,名前,点数
2180,リオン,93
2796,ネポン,93
2630,ニッキ,93
1500,ニッピ,93
1757,栄研化学,93
3337,オルトプラス,93
1214,中央化学,93
3635,丸八証券,93
429,富士通ゼネラル,93
758,広島銀行,93
1189,東京鐵鋼,93
742,大黒天物産,93
3214,東邦金属,93
2809,シリコンスタジオ,93
2440,極東証券,92
972,萩原電気,92
2629,日本コンセプト,92
2160,木村化工機,92
1926,北日本銀行,92
2173,技研製作所,92
1674,津田駒工業,92
722,新光電気工業,92
2016,川西倉庫,92
1534,アリアケジャパン,92
2860,コーアツ工業,92
2055,北越メタル,92
3631,豊和銀行,92
3003,太陽工機,92
2914,サンワカンパニー,92
472,トピー工業,92
1953,遠州トラック,92
2989,和弘食品,92
3078,エイケン工業,92
145,コニカミノルタ,92
1590,三共生興,92
67,日鉄住金物産,92
1563,シノケングループ,92
754,あおぞら銀行,92
839,東光高岳,92
448,クレディセゾン,92
1560,原田工業,92
3089,丸八倉庫,92
2700,スリープログループ,92
2116,スバル興業,92
617,古河機械金属,92
3109,リバーエレテック,92
2316,ジョリーパスタ,92
1323,宮崎銀行,92
1895,日本ライフライン,92
253,北陸電力,92
2709,アトムリビンテック,92
3259,アクセルマーク,91
1278,ノーリツ鋼機,91
38,関西電力,91
2529,中国工業,91
251,沖電気工業,91
1558,オーハシテクニカ,91
1228,パイオラックス,91
2150,エー・ピーカンパニー,91
57,住友化学,91
2980,クリエアナブキ,91
2433,テー・オー・ダブリュー,91
2434,黒田精工,91
3389,大和コンピューター,91
450,カワチ薬品,91
943,科研製薬,91
361,興銀リース,91
2305,東海染工,91
764,十六銀行,91
605,タカラスタンダード,91
1588,太陽化学,91
555,アルコニックス,91
15,東京電力,91
319,コスモス薬品,91
2608,エージーピー,91
2668,アルメタックス,91
682,丸一鋼管,91
1944,日阪製作所,91
952,リケンテクノス,91
1340,パーカーコーポレーション,91
990,椿本興業,91
1122,ダンロップスポーツ,91
2445,ハーバー研究所,91
404,協和エクシオ,91
1931,岩崎通信機,91
1542,徳倉建設,91
3012,菊池製作所,91
981,リテールパートナーズ,91
3265,倉庫精練,91
2904,日本エアーテック,91
3158,北川精機,91
3213,国際チャート,90
2725,日本ギア工業,90
1491,共立印刷,90
3262,アクリーティブ,90
2447,日本精鉱,90
783,日本プラスト,90
984,大倉工業,90
78,九州電力,90
2224,東京都競馬,90
401,横浜銀行,90
1349,青森銀行,90
2065,三京化成,90
3255,シベール,90
954,山洋電気,90
1666,北越工業,90
652,日本オラクル,90
408,京阪電気鉄道,90
1358,極東貿易,90
535,オートバックスセブン,90
3141,ニッコウトラベル,90
1002,ライト工業,90
1273,アイセイ薬局,90
1476,北雄ラッキー,90
1654,未来工業,90
1586,関東電化工業,90
541,コーセー,90
1254,日本農薬,90
2857,互応化学工業,90
1007,富士機械製造,90
1734,サンリン,90
189,アルプス電気,90
490,パソナグループ,90
444,東急建設,90
941,市光工業,90
2109,アルプス技研,90
1362,沖縄銀行,90
349,ヤクルト本社,90
2044,フルヤ金属,90
1021,ワンダーコーポレーション,90
625,ケーヨー,90
1234,フェローテック,90
1321,ピーシーデポコーポレーション,90
1815,リンクアンドモチベーション,90
1167,穴吹興産,90
328,安川電機,90
1640,日本精蝋,90
1313,日本ピストンリング,90
150,日本精工,90
2378,ヒラノテクシード,90
2658,高砂鐵工,90
3015,日本プロセス,90
1289,古河電池,90
716,北洋銀行,90
577,栗田工業,90
2674,三信建設工業,90
3563,北日本紡績,90
1296,ロジネット　ジャパン,90
2542,日本フエルト,90
2392,瀧上工業,90
2667,鉄人化計画,90
728,サーラコーポレーション,90
1841,日本金銭機械,90
2604,ファーストブラザーズ,90
1818,神鋼鋼線工業,90
2113,内外トランスライン,89
273,大同特殊鋼,89
2384,ショーエイコーポレーション,89
852,富士通フロンテック,89
1009,新興プランテック,89
2845,カッシーナ・イクスシー,89
2442,ドリームインキュベータ,89
2390,天昇電気工業,89
2218,ムロコーポレーション,88
2587,北川工業,88
2293,プロスペクト,88
1793,シライ電子工業,88
2586,竹本容器,88
1969,豊和工業,88
3242,桜井製作所,88
2748,サイバーリンクス,88
3465,エリアクエスト,88
2769,石川製作所,88
2355,南海プライウッド,88
1210,協栄産業,88
3047,ゼネラルパッカー,88
2156,シュッピン,88
2501,兼松日産農林,88
923,くらコーポレーション,88
2018,萩原工業,88
2190,東北特殊鋼,88
2046,那須電機鉄工,88
3177,テクノスジャパン,88
3531,アイリッジ,88
2050,ロンシール工業,88
2525,ジャパンマテリアル,88
2583,桂川電機,88
3181,共同ピーアール,88
2956,スガイ化学工業,88
