順位,名前,点数
448,クレディセゾン,92
449,リコーリース,120
450,カワチ薬品,91
451,エクセディ,56
452,加賀電子,82
453,アズビル,82
454,曙ブレーキ工業,73
455,福山通運,61
456,三井ホーム,33
457,相鉄ホールディングス,50
458,タチエス,7
459,京成電鉄,60
460,蝶理,70
461,昭和産業,45
462,ＳＢＩホールディングス,41
463,鴻池運輸,100
464,ノジマ,26
465,高砂熱学工業,76
466,上組,77
467,イオン九州,65
468,愛知製鋼,50
469,いなげや,20
470,因幡電機産業,59
471,菱電商事,51
472,トピー工業,92
473,ＳＣＲＥＥＮホールディングス,37
474,東京建物,54
475,すてきナイスグループ,72
476,エクセル,132
477,住友大阪セメント,50
478,リョーサン,70
479,ホシザキ電機,114
480,前田道路,65
481,ハウス食品グループ本社,72
482,明電舎,45
483,北越紀州製紙,82
484,ふくおかフィナンシャルグループ,64
485,日信工業,65
486,リョービ,87
487,太陽誘電,35
488,グローリー,148
489,日本精機,98
490,パソナグループ,90
491,コジマ,83
492,ニフコ,66
493,ＳＵＭＣＯ,1
494,千葉銀行,68
495,日本マクドナルドホールディングス,71
496,丸大食品,88
497,ナフコ,66
498,カルビー,150
499,青山商事,31
500,シスメックス,71
501,ミツウロコグループホールディングス,71
502,岡村製作所,76
503,ナブテスコ,116
504,宝ホールディングス,74
505,アコム,76
506,三信電気,87
507,アルペン,145
508,ノーリツ,70
509,東芝プラントシステム,57
510,極洋,128
511,不二越,77
512,コナミホールディングス,74
513,ユアテック,62
514,ＴＨＫ,1
515,ハピネット,62
516,船井電機,60
517,八千代工業,56
518,三菱製紙,45
519,河西工業,93
520,ＡＤＥＫＡ,12
521,エスフーズ,38
522,神戸物産,112
523,クリエイトＳＤホールディングス,58
524,ＮＥＣキャピタルソリューション,62
525,エービーシー・マート,55
526,ヒューリック,113
527,愛三工業,55
528,アクシアル　リテイリング,75
529,ほくやく・竹山ホールディングス,62
530,静岡銀行,100
531,南海電気鉄道,88
532,ゼビオホールディングス,53
533,シークス,85
534,住友ベークライト,75
535,オートバックスセブン,90
536,トーホー,40
537,西部瓦斯,72
538,マックスバリュ東海,72
539,ミスミグループ本社,55
540,ニッセンホールディングス,59
541,コーセー,90
542,リンテック,132
543,東宝,22
544,オリエントコーポレーション,80
545,新日鉄住金ソリューションズ,80
546,奥村組,103
547,サイバーエージェント,40
548,ユタカ技研,110
549,みらかホールディングス,74
550,日新,55
551,三菱倉庫,61
552,タダノ,26
553,イオンモール,65
554,わらべや日洋,81
555,アルコニックス,91
556,ハイレックスコーポレーション,77
557,トランス・コスモス,84
558,セントラル硝子,93
559,東亜建設工業,79
560,クラリオン,122
561,平和,10
562,中央魚類,55
563,ポーラ・オルビスホールディングス,68
564,プレス工業,86
565,椿本チエイン,53
566,トーエネック,65
567,日本製鋼所,56
568,ほくほくフィナンシャルグループ,66
569,Ｊ－オイルミルズ,83
570,ジーテクト,66
571,新明和工業,56
572,日本電気硝子,87
573,ウエルシアホールディングス,74
574,ワコールホールディングス,77
575,日本航空電子工業,82
576,小野建,77
577,栗田工業,90
578,高松コンストラクショングループ,68
579,フォスター電機,55
580,アインファーマシーズ,41
581,佐藤商事,40
582,ＴＯＫＡＩホールディングス,35
583,大和工業,56
584,美津濃,26
585,エイチワン,28
